
# ====== Port number : 3000 ======

########################################
# SR SequentialExecute for /192.168.0.2:3000
#  Repeat Count = 100
# Client Configuration @2011-09-08 04:10:49
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
17	54.97549999999998	0.6924475329297929	1315426710221	1315426720554
18	54.8173	0.5325559770470584	1315426720554	1315426730888
19	54.61530000000002	0.5532410565610733	1315426730888	1315426741236
20	54.82849999999997	1.1980045488195523	1315426741236	1315426751608
21	54.60629999999999	0.9739824060380209	1315426751608	1315426761974
22	54.61589999999998	1.2334963815246172	1315426761974	1315426772368
23	54.42000000000003	0.6715096816294204	1315426772368	1315426782765
24	54.45400000000001	0.903762058611339	1315426782765	1315426793178

########################################
# SR ParallelExecute for /192.168.0.2:3100
#  Repeat Count = 100
# Client Configuration @2011-09-08 04:19:53
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	101.28419999999998	0.41901804401904325	1315426793483	1315426803626
2	51.184200000000004	0.34435763650355267	1315426803626	1315426808760
3	34.49700000000003	0.2756937988156391	1315426808760	1315426812266
4	26.1827	0.29263641384331046	1315426812266	1315426814911
5	21.365299999999998	1.2219684855993995	1315426814911	1315426817077
6	17.9361	0.30353771003597857	1315426817077	1315426818912
7	15.446299999999997	0.31828344841580586	1315426818912	1315426820514
8	13.829700000000003	0.6156649603756286	1315426820514	1315426821948
9	12.369399999999994	0.33275046008520626	1315426821948	1315426823235
10	11.301499999999999	0.3497686825790867	1315426823235	1315426824411
11	10.408700000000001	0.6615541160667237	1315426824412	1315426825508
12	9.534699999999999	0.35652490810732823	1315426825508	1315426826511
13	9.000399999999999	0.3310189960675406	1315426826511	1315426827459
14	8.478000000000002	0.37186127531758173	1315426827459	1315426828355
15	8.024200000000004	0.4696746778677682	1315426828355	1315426829207
16	7.5366000000000035	0.4497748482756357	1315426829207	1315426830015
17	7.227000000000001	0.41788186431721064	1315426830015	1315426830791
18	6.928700000000003	0.38929009463091274	1315426830791	1315426831537
19	6.5815	0.4540176986715971	1315426831537	1315426832240
20	6.345800000000002	0.33572830525512404	1315426832240	1315426832929
21	6.156600000000003	0.326586941415339	1315426832930	1315426833595
22	5.998700000000002	0.3732485157980312	1315426833595	1315426834244
23	5.799200000000002	0.5360850980238214	1315426834244	1315426834870
24	5.546300000000001	0.4289702374832809	1315426834870	1315426835471


# ====== Port number : 3000 ======

########################################
# SR SequentialExecute for /192.168.0.2:3000
#  Repeat Count = 30
# Client Configuration @2011-09-08 04:20:40
#  Task time = 1000
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	1005.0352000000001	3.1936005450290215	1315426844003	1315426874256
2	752.6085999999999	1.3565695732163716	1315426874257	1315426904376
3	669.0366333333333	1.6652005881925562	1315426904377	1315426934487
4	627.2095666666669	1.4328737624766419	1315426934487	1315426964596
5	603.1334666666667	2.9292267160339622	1315426964596	1315426994738
6	585.1885333333335	0.4444127261847949	1315426994738	1315427024823
7	574.4299	2.550135944333161	1315427024823	1315427054975
8	565.3359999999998	2.510044772264367	1315427054975	1315427085103
9	557.8397999999999	1.6923935590586847	1315427085103	1315427115204
10	553.4075	2.310475839153975	1315427115204	1315427145379
11	548.5313333333335	1.9784256250645462	1315427145379	1315427175534
12	544.4453999999998	2.293688635977283	1315427175534	1315427205672
13	541.9624666666666	2.2963035323302936	1315427205672	1315427235838
14	538.5541333333333	2.0132423794034606	1315427235838	1315427265990
15	537.2275000000001	2.8151097700097893	1315427265990	1315427296180
16	535.1014	3.080339609571405	1315427296181	1315427326349
17	533.0036333333335	2.2439479753204017	1315427326349	1315427356565
18	530.89	1.9400099359963203	1315427356565	1315427386739
19	530.1726000000001	2.5941035871030262	1315427386739	1315427416945
20	528.3388666666665	1.7641343043570572	1315427416946	1315427447142
21	528.3672	2.6612989750304643	1315427447142	1315427477381
22	527.3075	3.3008285872145953	1315427477381	1315427507609
23	525.4636666666667	2.232288702322236	1315427507609	1315427537821
24	525.0038	2.6599478916237045	1315427537821	1315427568051

########################################
# SR ParallelExecute for /192.168.0.2:3000
#  Repeat Count = 30
# Client Configuration @2011-09-08 04:32:48
#  Task time = 1000
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	1003.3644666666665	1.7996458796505281	1315427571066	1315427601204
2	502.8677666666667	0.29718677308836283	1315427601204	1315427616322
3	336.19193333333334	2.122745927155452	1315427616322	1315427626446
4	252.6186	0.5456380384242268	1315427626447	1315427634068
5	203.08296666666664	2.3226166350381825	1315427634068	1315427640196
6	168.77183333333335	0.4475001894129731	1315427640196	1315427645300
7	145.49826666666664	1.9980252480788638	1315427645300	1315427649703
8	127.4702	0.3288625538310349	1315427649704	1315427653566
9	113.6528666666667	0.739530173929989	1315427653566	1315427657019
10	102.54923333333335	1.0697909458465207	1315427657019	1315427660137
11	93.89320000000001	2.0129405733215764	1315427660137	1315427662992
12	86.26573333333333	2.117039685477751	1315427662992	1315427665619
13	79.70459999999999	1.829297483396973	1315427665619	1315427668051
14	74.16713333333333	0.4356917396007088	1315427668051	1315427670313
15	69.4993	1.0415461368418042	1315427670313	1315427672437
16	65.4926	1.1636863127501795	1315427672438	1315427674447
17	61.68303333333335	1.9378100772263265	1315427674447	1315427676348
18	58.48783333333334	1.5800729377166383	1315427676348	1315427678145
19	55.6069	1.5505664448839802	1315427678145	1315427679855
20	52.49506666666668	0.8203888032540022	1315427679855	1315427681486
21	50.679833333333335	1.2829446754360778	1315427681486	1315427683049
22	48.38899999999999	1.0446563203214545	1315427683049	1315427684545
23	46.359866666666655	0.5197885998238068	1315427684545	1315427685983
24	44.62559999999999	0.8803784296033843	1315427685983	1315427687366


# ====== Port number : 3100 ======

########################################
# SR SequentialExecute for /192.168.0.2:3100
#  Repeat Count = 30
# Client Configuration @2011-09-08 04:34:57
#  Task time = 1000
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	1005.2864666666667	3.3337948940462785	1315427700900	1315427731161
2	752.4527000000002	0.4007889759182917	1315427731162	1315427761266
3	668.9386333333334	1.0283760710641985	1315427761266	1315427791354
